HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Gender,Answer.age,Answer.reasons,Answer.timesSeenDr,Answer.yourGender,Approve,Reject
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,38JBBYETQPW32RE4BHBYR8K6EX04EH,AGWHBRX2T3665,Submitted,Fri Aug 03 16:04:36 PDT 2018,Fri Aug 03 16:05:31 PDT 2018,Mon Aug 06 16:05:31 PDT 2018,,,,55,0% (0/0),0% (0/0),0% (0/0),Male,33,"Don't want to undress in front of female, males historically have had more experience in medical profession. They may know more.",1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3TGOYF991Y8J8L55GNHL8U43ZYHUUA,A1Y9VA9FKJLS5K,Submitted,Fri Aug 03 16:04:49 PDT 2018,Fri Aug 03 16:05:38 PDT 2018,Mon Aug 06 16:05:38 PDT 2018,,,,49,0% (0/0),0% (0/0),0% (0/0),Female,31,I think another male would understand my health issues more than a woman.,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3TOK3KHVJU4MX59C7TC1ZWYU91W7O8,A1QXYROUID6JGZ,Submitted,Fri Aug 03 16:04:48 PDT 2018,Fri Aug 03 16:05:38 PDT 2018,Mon Aug 06 16:05:38 PDT 2018,,,,50,0% (0/0),0% (0/0),0% (0/0),Either,29,I'm fine with either. There are more important qualifications such as good bedside manner and good communication skills. I have had both female and male doctors and I feel comfortable with either.,11 or more,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,31EUONYN2WPO8VA8PRFH5AEXVJ2VON,A14XECI3XLI39H,Submitted,Fri Aug 03 16:04:56 PDT 2018,Fri Aug 03 16:05:41 PDT 2018,Mon Aug 06 16:05:41 PDT 2018,,,,45,0% (0/0),0% (0/0),0% (0/0),Male,29,"I am more comfortable in a male because being a male, I believe that men can relate to the problems that I would go through instead of woman and know more about it.",1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3WJ1OXY92B21VFKU7FZPC1AKV4Y8AX,A38S1M9I6HIBJG,Submitted,Fri Aug 03 16:04:53 PDT 2018,Fri Aug 03 16:05:41 PDT 2018,Mon Aug 06 16:05:41 PDT 2018,,,,48,0% (0/0),0% (0/0),0% (0/0),Male,43,Since I am also male I prefer to discuss sensitive issues with a male.,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3EICBYG645IE8BDBIXS77M9MBIDCJN,A1GRPIBHW72HDU,Submitted,Fri Aug 03 16:04:40 PDT 2018,Fri Aug 03 16:05:48 PDT 2018,Mon Aug 06 16:05:48 PDT 2018,,,,68,0% (0/0),0% (0/0),0% (0/0),Male,29,I prefer to have a doctor that is the same gender as me because I feel like they can relate and understand my body better. I also would feel more comfortable discussing certain topics with a doctor of the same gender as me.,6-10,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3R8YZBNQ9I4PIHMSM645O1TUO2DQ7Y,A2ZQCHONMAJZF,Submitted,Fri Aug 03 16:04:39 PDT 2018,Fri Aug 03 16:05:51 PDT 2018,Mon Aug 06 16:05:51 PDT 2018,,,,72,0% (0/0),0% (0/0),0% (0/0),Either,33,"So long ass they are a competant physician and they're able to provide the care I want, I'm fine with either Female or Male primary care physician.",11 or more,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3SBEHTYCWOPVG3UAW7PWSCM51R6IYP,A35P2RX8HKZM96,Submitted,Fri Aug 03 16:05:07 PDT 2018,Fri Aug 03 16:05:54 PDT 2018,Mon Aug 06 16:05:54 PDT 2018,,,,47,0% (0/0),0% (0/0),0% (0/0),Either,34,"I don't mind if it's primary care. If it's a gynecologist, I prefer female.",1-5,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3K2755HG5TP881XTZ3WXCUZC3B8FDN,A9ZCY6FLUCIU1,Submitted,Fri Aug 03 16:04:43 PDT 2018,Fri Aug 03 16:05:58 PDT 2018,Mon Aug 06 16:05:58 PDT 2018,,,,75,100% (1/1),100% (1/1),0% (0/0),Female,45,more comfortable with women practitioners in general..haven't been able to relate to men as doctors,11 or more,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3AUQQEL7U6F35EIPN6D6F9IFXGN0V3,A1940HXCOGYQ33,Submitted,Fri Aug 03 16:04:56 PDT 2018,Fri Aug 03 16:06:05 PDT 2018,Mon Aug 06 16:06:05 PDT 2018,,,,69,0% (0/0),0% (0/0),0% (0/0),Either,29,When I was younger I felt more comfortable with a male physician but as I got older it really does't matter anymore,6-10,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,382M9COHEI12JP8JQN2G4CI0DAOUEU,A83DI5Q5K6F1F,Submitted,Fri Aug 03 16:05:35 PDT 2018,Fri Aug 03 16:06:07 PDT 2018,Mon Aug 06 16:06:07 PDT 2018,,,,32,0% (0/0),0% (0/0),0% (0/0),Either,32,As long as they are kind and professional gender does not matter,6-10,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3RKNTXVS3NK0CEXSVC9CVPUFTI24AM,AKG7VBOY97HKA,Submitted,Fri Aug 03 16:04:39 PDT 2018,Fri Aug 03 16:06:07 PDT 2018,Mon Aug 06 16:06:07 PDT 2018,,,,88,0% (0/0),0% (0/0),0% (0/0),Either,71,It doesn't matter for a primary doctor.,1-5,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,31IBVUNM9TLU2IXFQOWRIG5J3ICFVM,A2BF3A9KYSEFPO,Submitted,Fri Aug 03 16:04:48 PDT 2018,Fri Aug 03 16:06:09 PDT 2018,Mon Aug 06 16:06:09 PDT 2018,,,,81,100% (1/1),100% (1/1),0% (0/0),Either,39,"when it comes to my health, it does not matter the gender of my healthcare provider.  I only care the quality that I receive from my provider",6-10,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,33CKWXB73K6NQRN9CBXHMQU9D4M11I,A3RS7UCO7CQ74R,Submitted,Fri Aug 03 16:04:58 PDT 2018,Fri Aug 03 16:06:15 PDT 2018,Mon Aug 06 16:06:15 PDT 2018,,,,77,0% (0/0),0% (0/0),0% (0/0),Either,30,The gender does not affect the job they do,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3CCZ6YKWR8543ERNHBEM4MP9NWF59D,AKWIRTRUXO6R5,Submitted,Fri Aug 03 16:04:50 PDT 2018,Fri Aug 03 16:06:17 PDT 2018,Mon Aug 06 16:06:17 PDT 2018,,,,87,0% (0/0),0% (0/0),0% (0/0),Female,43,I prefer to have a female doctor because I believe they check their egos  at the door when they walk into the office.,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3MYYFCXHJ4T1M5AVHC1MRB5IRDF4GY,A2YKYAZYVWOXBO,Submitted,Fri Aug 03 16:04:42 PDT 2018,Fri Aug 03 16:06:20 PDT 2018,Mon Aug 06 16:06:20 PDT 2018,,,,98,100% (1/1),100% (1/1),0% (0/0),Either,41,i really need competence most of all.i can be comfortable with either as long as feel like i am in good hands and they know very well what they are doing.,11 or more,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3Z9WI9EOZ0A003U9MA6KJS6F3ZIKH3,AZEI1634OQBB3,Submitted,Fri Aug 03 16:05:24 PDT 2018,Fri Aug 03 16:06:21 PDT 2018,Mon Aug 06 16:06:21 PDT 2018,,,,57,0% (0/0),0% (0/0),0% (0/0),Female,29,I feel like a female physician would be a better listener and might be better able to understand my symptoms due to personal experience.,6-10,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3WJEQKOXA9OJKF098UQAXRNCHYS1A6,AOBTFLJU2BEPR,Submitted,Fri Aug 03 16:05:01 PDT 2018,Fri Aug 03 16:06:29 PDT 2018,Mon Aug 06 16:06:29 PDT 2018,,,,88,0% (0/0),0% (0/0),0% (0/0),Either,34,I've had equally good and bad doctors of each gender.,6-10,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3G2UL9A02E0W8Z387XQ7IWC3O1267I,AURYD2FH3FUOQ,Submitted,Fri Aug 03 16:05:05 PDT 2018,Fri Aug 03 16:06:32 PDT 2018,Mon Aug 06 16:06:32 PDT 2018,,,,87,0% (0/0),0% (0/0),0% (0/0),Either,56,"I don't have a primary care physician, and I can see no reason to have one unless I wanted insurance and was forced to have one. I'd just want one that was intelligent and thought outside of their programmed education.",1-5,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3CN4LGXD5YA18WVVBINSYBCMW94Y4P,A3GM8A9J1OB15W,Submitted,Fri Aug 03 16:04:47 PDT 2018,Fri Aug 03 16:06:32 PDT 2018,Mon Aug 06 16:06:32 PDT 2018,,,,105,0% (0/0),0% (0/0),0% (0/0),Female,30,I feel more comfortable because women are more patient at the time of attending and examining and more delicate,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3G2UL9A02E0W8Z387XQ7IWC3O1276J,A3CX8QU3BPJST2,Submitted,Fri Aug 03 16:04:41 PDT 2018,Fri Aug 03 16:06:33 PDT 2018,Mon Aug 06 16:06:33 PDT 2018,,,,112,0% (0/0),0% (0/0),0% (0/0),Male,28,i proud to be an a male as my primary care physician,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3DH6GAKTYZBHBTJKWBDIS7PVX47ZY2,A3HYLVFUDKJFKC,Submitted,Fri Aug 03 16:04:42 PDT 2018,Fri Aug 03 16:06:33 PDT 2018,Mon Aug 06 16:06:33 PDT 2018,,,,111,0% (0/0),0% (0/0),0% (0/0),Male,68,sINCE i am a male I find it easier to talk to a male about several different topics and the males are just what i thik are more apt to make the right decisions,1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,369J354OFEWF1SE900U1O9PWN4LG6V,A34LSCB90T5KYE,Submitted,Fri Aug 03 16:04:52 PDT 2018,Fri Aug 03 16:06:34 PDT 2018,Mon Aug 06 16:06:34 PDT 2018,,,,102,0% (0/0),0% (0/0),0% (0/0),Female,45,I am more comfortable with a female physician because I feel they will not take advantage of me like a male physician might. If I had a male physician I would be self conscious that they would be judging my body.,6-10,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3K4J6M3CXFFGOUQCQDBD4ERIJNCGAM,A2L0XRNU4SG8UA,Submitted,Fri Aug 03 16:06:01 PDT 2018,Fri Aug 03 16:06:35 PDT 2018,Mon Aug 06 16:06:35 PDT 2018,,,,34,0% (0/0),0% (0/0),0% (0/0),Male,42,"As a man, I feel more comofrtable with a male physician for any potentially private and embarassing things.",1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,39JEC7537VNNZ6D5ZM6QAAKG65KCV8,A3RFHN13MRS8LA,Submitted,Fri Aug 03 16:04:47 PDT 2018,Fri Aug 03 16:06:36 PDT 2018,Mon Aug 06 16:06:36 PDT 2018,,,,109,0% (0/0),0% (0/0),0% (0/0),Female,31,because i feel a female doctor knows and understands more on what i go threw,1-5,Female,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3HPZF4IVNNF4308A4XTAH9OAOMMCYH,A1MYDAL453CN5Q,Submitted,Fri Aug 03 16:04:50 PDT 2018,Fri Aug 03 16:06:36 PDT 2018,Mon Aug 06 16:06:36 PDT 2018,,,,106,0% (0/0),0% (0/0),0% (0/0),Either,23,"it doesn't really matter to me much, as long as the doctor is competent and really good at their job.",1-5,Male,,
3T2HW4QDUVTNFF296JWST80YUBRC9J,3QWFS36IISTTN0083DH0OZDXWA7QBB,Answer a 5 question survey about your opinions on preferred physician qualities,Answer a short survey about your opinions on preferred physician qualities,"survey, demographics",$0.50,Fri Aug 03 16:04:24 PDT 2018,100,BatchId:3328149;OriginalHitTemplateId:920937332;,1800,259200,Sat Aug 04 16:04:24 PDT 2018,,,3NC5L260MP8ZCYOIPCADNOBB7PFFOK,A28JANGJRFGGAZ,Submitted,Fri Aug 03 16:04:49 PDT 2018,Fri Aug 03 16:06:41 PDT 2018,Mon Aug 06 16:06:41 PDT 2018,,,,112,0% (0/0),0% (0/0),0% (0/0),Either,39,Doctors are doctors. I feel like I want a doctor who is compassiaonate and thorough more than a man or a woman.,1-5,Male,,
